"gene_names","gene_ids"
"plac8l1","ENSPFOG00000002343"
"larsb","ENSPFOG00000002361"
"rbm27","ENSPFOG00000003105"
"pou4f3","ENSPFOG00000003289"
"rad50","ENSPFOG00000003314"
"drd1b","ENSPFOG00000020219"
"msx2b","ENSPFOG00000003580"
"hmp19","ENSPFOG00000003608"
"CPEB4(2of2)","ENSPFOG00000003662"
"ADAD2","ENSPFOG00000003758"
"adgrg4b","ENSPFOG00000022248"
"fhl1b","ENSPFOG00000003810"
"slc9a6b","ENSPFOG00000003905"
"IL2RG(2of2)","ENSPFOG00000004175"
"snx12","ENSPFOG00000004239"
"slc7a3a","ENSPFOG00000004316"
"RAB39B(1of2)","ENSPFOG00000004492"
"si:ch73-173m3.3","ENSPFOG00000004534"
"ensembl","ENSPFOG00000004606"
"rbm14a","ENSPFOG00000004843"
"dpp3","ENSPFOG00000004916"
"CD248(1of2)","ENSPFOG00000005048"
"ehbp1l1b","ENSPFOG00000005065"
"fam89b","ENSPFOG00000005167"
"sssca1","ENSPFOG00000005175"
"arr3a","ENSPFOG00000005241"
"mcf2b","ENSPFOG00000005613"
"f9b","ENSPFOG00000006072"
"fgf13b","ENSPFOG00000006203"
"afap1l1b","ENSPFOG00000006277"
"ablim3(2of2)","ENSPFOG00000006596"
"adrb2b","ENSPFOG00000007036"
"ubtd2","ENSPFOG00000007096"
"IL12B(2of3)","ENSPFOG00000007116"
"ublcp1","ENSPFOG00000007186"
"rnf145a","ENSPFOG00000007292"
"EBF1(2of2)","ENSPFOG00000007531"
"htatsf1","ENSPFOG00000007871"
"bod1","ENSPFOG00000008031"
"stc2b(2of2)","ENSPFOG00000023652"
"stc2b(1of2)","ENSPFOG00000008043"
"bnip1b","ENSPFOG00000008074"
"crebrf","ENSPFOG00000008174"
"pcyox1l","ENSPFOG00000008275"
"TCERG1","ENSPFOG00000008374"
"tmtops3b","ENSPFOG00000008567"
"tpst1l","ENSPFOG00000008572"
"crcp","ENSPFOG00000008626"
"si:ch1073-475a24.1","ENSPFOG00000008650"
"asl","ENSPFOG00000008662"
"ca4c","ENSPFOG00000008961"
"aldh3a2b","ENSPFOG00000008973"
"vtnb","ENSPFOG00000009075"
"slc13a2","ENSPFOG00000009158"
"unc119b","ENSPFOG00000009346"
"cryba1b","ENSPFOG00000009385"
"gosr1(2of2)","ENSPFOG00000009522"
"tusc5b(1of2)","ENSPFOG00000009586"
"ensembl","ENSPFOG00000021087"
"tusc5b(2of2)","ENSPFOG00000022561"
"ensembl","ENSPFOG00000021575"
"aifm5","ENSPFOG00000009605"
"FBXO40(2of3)","ENSPFOG00000009788"
"FBXO40(3of3)","ENSPFOG00000009893"
"si:ch211-274p24.4","ENSPFOG00000010005"
"ensembl","ENSPFOG00000020220"
"cluhb","ENSPFOG00000010058"
"pafah1b1a(1of2)","ENSPFOG00000010319"
"mntb","ENSPFOG00000010412"
"sept4a","ENSPFOG00000010456"
"limk1b","ENSPFOG00000010565"
"mrps17","ENSPFOG00000010719"
